epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,605.071,1.50647,1.67693,1.33178,0.62921,0.68116,0.65688,0.37464,1.49427,1.12897,1.28142,0.00333218,0.00333218,0.00333218
2,1181.77,1.41081,1.11076,1.23359,0.65353,0.72487,0.70865,0.42207,1.4141,0.98965,1.23633,0.00653353,0.00653353,0.00653353
3,1756.64,1.45168,1.17164,1.25514,0.66508,0.70183,0.70009,0.41118,1.44415,1.02072,1.25881,0.00960289,0.00960289,0.00960289
4,2302.53,1.46202,1.1795,1.26729,0.66453,0.75417,0.73379,0.44548,1.38795,0.92202,1.2285,0.009406,0.009406,0.009406
5,2862.02,1.41535,1.08487,1.23688,0.67388,0.78953,0.75551,0.47129,1.3503,0.85318,1.19555,0.009208,0.009208,0.009208
6,3437.9,1.38331,1.03445,1.22106,0.67745,0.80627,0.76311,0.48293,1.33103,0.81888,1.18787,0.00901,0.00901,0.00901
7,3992.2,1.35966,0.99462,1.20341,0.68618,0.81603,0.77146,0.49229,1.31427,0.79311,1.17393,0.008812,0.008812,0.008812
8,4558.56,1.34121,0.97043,1.19286,0.68814,0.8204,0.77233,0.49714,1.30059,0.77839,1.16681,0.008614,0.008614,0.008614
9,5135.96,1.3266,0.94603,1.18439,0.68489,0.83084,0.77559,0.50183,1.29317,0.76668,1.16213,0.008416,0.008416,0.008416
10,5695.55,1.3133,0.92785,1.17632,0.68995,0.8304,0.77756,0.50446,1.28857,0.76103,1.15909,0.008218,0.008218,0.008218
11,6240.36,1.3041,0.91364,1.1725,0.68871,0.83178,0.77838,0.50572,1.28417,0.75692,1.1572,0.00802,0.00802,0.00802
12,6762.61,1.29251,0.89792,1.16473,0.68645,0.83561,0.77878,0.5071,1.28075,0.7517,1.15491,0.007822,0.007822,0.007822
13,7307.61,1.28672,0.88989,1.1623,0.68576,0.83787,0.77914,0.50817,1.27839,0.74906,1.15335,0.007624,0.007624,0.007624
14,7856.58,1.27299,0.87765,1.15415,0.6852,0.84317,0.77901,0.5093,1.2764,0.74646,1.15202,0.007426,0.007426,0.007426
15,8409.03,1.26626,0.86542,1.14978,0.68261,0.84378,0.77937,0.51044,1.27477,0.74374,1.1511,0.007228,0.007228,0.007228
16,8959.99,1.26176,0.856,1.14732,0.68603,0.84265,0.77976,0.5113,1.27328,0.74138,1.15031,0.00703,0.00703,0.00703
17,9511.54,1.25326,0.84752,1.14211,0.6871,0.842,0.77942,0.51158,1.27196,0.73853,1.14989,0.006832,0.006832,0.006832
18,10054.7,1.24494,0.83902,1.13598,0.69002,0.84156,0.7793,0.51226,1.27029,0.73643,1.14855,0.006634,0.006634,0.006634
19,10576.8,1.23889,0.82837,1.13513,0.68838,0.84364,0.77922,0.51293,1.26808,0.73415,1.14734,0.006436,0.006436,0.006436
20,11091.1,1.2327,0.82456,1.12919,0.69061,0.84425,0.78027,0.51444,1.26644,0.7322,1.14642,0.006238,0.006238,0.006238
21,11604,1.22437,0.81573,1.12678,0.69522,0.84125,0.78075,0.51535,1.26448,0.73016,1.1453,0.00604,0.00604,0.00604
22,12118.4,1.21849,0.80963,1.12525,0.69551,0.84292,0.78102,0.51571,1.26252,0.72808,1.1442,0.005842,0.005842,0.005842
23,12631.1,1.21312,0.80045,1.11893,0.69599,0.84267,0.78078,0.51655,1.26072,0.7262,1.14314,0.005644,0.005644,0.005644
24,13145.4,1.20422,0.79158,1.11618,0.69554,0.84475,0.78073,0.51713,1.25964,0.72384,1.14249,0.005446,0.005446,0.005446
25,13659.6,1.19992,0.78744,1.11444,0.69697,0.84662,0.7813,0.5183,1.25829,0.72203,1.14157,0.005248,0.005248,0.005248
26,14164.4,1.1922,0.77599,1.10843,0.69895,0.8454,0.78131,0.51893,1.25652,0.72,1.13999,0.00505,0.00505,0.00505
27,14663.9,1.18544,0.77085,1.10556,0.70148,0.84415,0.78099,0.51965,1.25486,0.71797,1.13914,0.004852,0.004852,0.004852
28,15163.6,1.17948,0.76624,1.10458,0.70154,0.8456,0.78148,0.52029,1.25379,0.716,1.13864,0.004654,0.004654,0.004654
29,15663.1,1.17266,0.75778,1.09968,0.70196,0.84801,0.78146,0.52092,1.253,0.71479,1.13838,0.004456,0.004456,0.004456
30,16161.8,1.16624,0.75149,1.09608,0.703,0.84826,0.78218,0.52174,1.25222,0.71365,1.13787,0.004258,0.004258,0.004258
31,16660.1,1.15635,0.74337,1.09257,0.70417,0.84928,0.78228,0.5225,1.25152,0.71252,1.13751,0.00406,0.00406,0.00406
32,17159.1,1.1498,0.73584,1.08687,0.70392,0.85119,0.7829,0.52282,1.25072,0.71144,1.13672,0.003862,0.003862,0.003862
33,17660,1.1439,0.72996,1.08512,0.70404,0.85172,0.78268,0.52303,1.24978,0.71118,1.13599,0.003664,0.003664,0.003664
34,18159.5,1.13593,0.72032,1.08001,0.70537,0.85098,0.78273,0.52346,1.24926,0.71042,1.1357,0.003466,0.003466,0.003466
35,18657.7,1.12686,0.71487,1.07742,0.70542,0.84986,0.78282,0.52378,1.24848,0.70992,1.13523,0.003268,0.003268,0.003268
36,19156.6,1.11777,0.70576,1.0723,0.70608,0.85122,0.78277,0.52388,1.2481,0.70963,1.13497,0.00307,0.00307,0.00307
37,19654.8,1.11116,0.69728,1.0685,0.70719,0.84964,0.78212,0.52366,1.2478,0.70935,1.13488,0.002872,0.002872,0.002872
38,20152.7,1.09982,0.69202,1.06287,0.70828,0.84962,0.7813,0.52379,1.24742,0.70914,1.13461,0.002674,0.002674,0.002674
39,20651.1,1.09395,0.68589,1.0628,0.70978,0.8498,0.78079,0.52367,1.24727,0.70956,1.13483,0.002476,0.002476,0.002476
